x,y,Ex,Ey
0,0,0.0125,0.065
0,4,-0.0125,0.0175
0,8,-0.01625,0.03
0,12,-0.02125,0.05625
0,16,-0.0175,0.04125
0,20,-0.00125,0.07375
0,24,0.02875,0.45125
4,0,0.00375,0.04
4,4,-0.02625,0.01375
4,8,-0.045,0.025
4,12,-0.04375,0.06
4,16,-0.04,0.0575
4,20,-0.01125,0.10375
4,24,0.0475,0.4225
8,0,-0.035,0.01
8,4,-0.04125,-0.005
8,8,-0.05,0.02625
8,12,-0.07375,0.06375
8,16,-0.07875,0.08625
8,20,0,0.1625
8,24,-0.0725,0.375
12,0,-0.03625,0.00375
12,4,-0.04125,-0.01375
12,8,-0.06375,0.0025
12,12,-0.13,0.05875
12,16,-0.07875,0.165
12,20,-0.1125,0.09
12,24,-0.08625,0.4475
16,0,-0.02,-0.00125
16,4,-0.02375,-0.03625
16,8,-0.0325,-0.06375
16,12,-0.1675,0.11
16,16,-0.06125,0.13125
16,20,-0.04625,0.11625
16,24,-0.0375,0.53375
20,0,0.81,-0.005
20,4,0.815,-0.045
20,8,0.86,-0.19875
20,12,1.05875,0.21625
20,16,0.8425,0.14625
20,20,0.69625,0.125
20,24,0.57125,0.57125
